1;3;2.60.2.8.1;IdleScope;;2023-09-14 23:58:45.529182+01;0;10.58.1.21;30:0e:d5:3                                               c:dd:43;t;;605FB92DC3257BDE18672E3A70FB44DD;2023-09-14 23:58:08.994739+01;0;202                                               3-09-15 00:43:33.232595+01;f;0;0
1;2;2.60.3.10.1;ReadyScope;;2023-10-30 12:02:57.101397+00;0;10.58.1.57;30:0e:d5                                               :3c:dd:43;t;;0E97F74ED103188FF93AD08622029662;2023-10-30 12:00:06.273251+00;0;2                                               023-10-30 17:38:10.54053+00;f;0;0
1;10;2.60.3.9.1;ReadyScope;;2023-10-27 10:26:41.234918+01;0;10.58.1.39;00:01:2e                                               :61:30:f6;t;;B7723421773AE4D4E681B140992A9168;2023-10-27 07:00:57.860644+01;0;2                                               023-10-27 15:45:55.747741+01;f;0;0
1;4;2.60.3.2.1;RecoveringScope;;2023-09-18 16:39:16.899751+01;0;10.58.1.21;30:0                                               e:d5:3c:dd:43;t;;98F3246DC14A3FF23413B9452ED1F13B;2023-09-18 22:24:19.4666+01;0;2023-09-18 22:36:26.627968+01;f;0;0
1;11;2.60.3.8.1;IdleScope;;2023-10-05 00:22:55.529781+01;0;10.58.0.99;00:0c:29:                                               6d:5f:98;t;;61F2A827EC15414B12F44B5CDF168F18;2023-10-11 07:01:54.749978+01;0;20                                               23-10-11 13:22:06.378139+01;f;0;0
1;13;2.60.3.6.1;IdleScope;;2023-10-02 11:14:46.840449+01;0;10.51.101.53;00:01:2                                               e:62:36:9d;t;;498E00FA088E941CE7866F7418CF6469;2023-10-03 06:49:44.212198+01;0;2023-10-03 13:58:37.070558+01;f;0;0
1;12;2.60.3.9.1;IdleScope;;2023-10-24 10:34:41.744184+01;0;10.58.0.96;00:0c:29:                                               46:48:e9;t;;B7723421773AE4D4E681B140992A9168;2023-10-27 07:01:38.89095+01;0;202                                               3-10-27 16:02:10.555458+01;f;0;0
52;15;2.60.3.14.20;TenderScope;;2023-12-01 15:10:53.349965+00;0;10.51.101.53;00                                               :01:2e:62:36:9d;t;;B1422ACB638426061DF74E91A9B81D59;2023-12-01 15:44:05.263229+                                               00;0;2023-12-02 06:48:43.926945+00;f;0;0
52;2;2.60.3.14.29;ReadyScope;;2024-01-18 12:27:50.908273+00;0;10.58.1.4;00:01:2                                               e:61:30:f6;t;;96B1E9A61614805791AC97C26C8B25A9;2024-01-18 12:27:11.097919+00;0;2024-01-18 12:30:08.396095+00;f;0;0
1;15;2.60.3.9.1;IdleScope;;2023-10-26 20:40:28.610719+01;0;10.51.101.53;00:01:2                                               e:62:36:9d;t;;44B9B6E394616A5CFCDC1B5A2B2FB30D;2023-10-29 07:49:37.717599+00;0;2024-01-25 16:35:05.057097+00;f;0;0
32;15;2.60.3.14.50;IdleScope;;2024-01-10 22:02:47.41154+00;0;10.51.101.53;00:01                                               :2e:62:36:9d;t;;7F3C033786B1D13D44C2E2811EFFBBC8;2024-02-21 06:59:51.286882+00;0;2024-02-21 12:34:33.895604+00;f;0;0
52;12;2.60.3.14.52;IdleScope;;2024-02-20 14:02:55.944882+00;0;10.58.0.96;00:0c:                                               29:46:48:e9;t;;82846AA962FFEB0B233F9FF9D908AFD8;2024-02-22 06:01:55.134372+00;0;2024-02-22 10:43:46.486126+00;f;0;0
32;1;2.60.3.14.57;ReadyScope;;2024-02-29 11:08:49.078871+00;0;10.58.1.27;30:0e:                                               d5:3c:dd:43;t;;1A6D10CD5FD109887004A6057855C415;2024-02-29 11:43:45.048453+00;0;2024-02-29 14:40:35.926038+00;f;0;0
32;3;2.60.3.14.51;ProgressScope;;2024-03-06 10:10:39.1349+00;0;10.58.1.27;30:0e                                               :d5:3c:dd:43;t;;52EEF20F9B35342670612400B195A664;2024-03-06 10:10:06.782504+00;0;2024-03-06 10:20:49.207229+00;f;0;0
52;10;2.60.3.14.57;IdleScope;;2024-03-07 17:28:58.62594+00;0;10.58.1.4;00:01:2e                                               :61:30:f6;t;;8C9B5E81F7B174A0DD357819319D57A7;2024-03-07 07:00:26.697415+00;0;2                                               024-03-08 10:27:43.402891+00;f;0;0
